,model,validation f1 mean,validation f1 std,validation precision mean,validation precision std,validation recall mean,validation recall std,validation loss mean,validation loss std,validation auc mean,validation auc std
124,mmc7_PCA_LSTM__mice.pth,0.570394134,0.050497392,0.561178277,0.064677709,0.883353659,0.068414553,0.678539592,0.002265934,0.786938479,0.052524893
125,mmc7_PCA_LSTM__None.pth,0.570394134,0.050497392,0.561178277,0.064677709,0.883353659,0.068414553,0.678539592,0.002265934,0.786938479,0.052524893
126,mmc7_PCA_LSTM_padded_mean.pth,0.621739306,0.050552691,0.553318724,0.119166677,0.90347561,0.035843131,0.670926046,0.002106865,0.869894715,0.037705769
127,mmc7_PCA_LSTM_padded_mice.pth,0.624457405,0.054679728,0.565921875,0.124522863,0.90347561,0.035843131,0.670926064,0.002106862,0.869989218,0.037690169
128,mmc7__CNNLSTM__mean.pth,0.666978684,0.045490183,0.709408303,0.117765792,0.965487805,0.029147617,0.681560242,0.001464948,0.884339809,0.033123797
129,mmc7__CNNLSTM_padded_mean.pth,0.666978684,0.045490183,0.709408303,0.117765792,0.965487805,0.029147617,0.681560242,0.001464948,0.884339809,0.033123797
130,mmc7__CNNLSTM__mice.pth,0.676957508,0.053131179,0.710213491,0.116993607,0.965487805,0.029147617,0.681560242,0.001464948,0.886577195,0.034307718
131,mmc7__CNNLSTM_padded_mice.pth,0.676957508,0.053131179,0.710213491,0.116993607,0.965487805,0.029147617,0.681560242,0.001464948,0.886577195,0.034307718
132,mmc7__LSTM_padded_GAIN.pth,0.678474598,0.066879709,0.78561218,0.093755665,0.965304878,0.012254277,0.712006193,0.002031703,0.888096576,0.04449756
133,mmc7__CNNLSTM_padded_GAIN.pth,0.684311948,0.078333784,0.710190226,0.139692368,0.95804878,0.021847315,0.681527841,0.001467545,0.893367127,0.041499926
134,mmc7__LSTM_padded_mean.pth,0.706565174,0.069026198,0.763344815,0.104892333,0.965304878,0.012254277,0.712045884,0.002033918,0.902692445,0.038998396
135,mmc7__LSTM_padded_mice.pth,0.706565174,0.069026198,0.763344815,0.104892333,0.965304878,0.012254277,0.712045884,0.002033918,0.902692445,0.038998396
136,mmc7_PCA_LSTM_padded_GAIN.pth,0.713781299,0.112941042,0.664259528,0.160498712,0.935670732,0.022635424,0.671316504,0.001931523,0.921013961,0.057350574
137,mmc7_PCA_CNNLSTM__mean.pth,0.769899975,0.078063791,0.796123872,0.107707037,0.906036585,0.048957339,0.739081031,0.005435255,0.925746012,0.026733923
138,mmc7_PCA_CNNLSTM_padded_mean.pth,0.769899975,0.078063791,0.796123872,0.107707037,0.906036585,0.048957339,0.739081031,0.005435255,0.925746012,0.026733923
139,mmc7_PCA_CNNLSTM__mice.pth,0.797318099,0.053604192,0.804684647,0.067104805,0.908536585,0.041340384,0.739081013,0.005435259,0.93689023,0.02795518
140,mmc7_PCA_CNNLSTM_padded_mice.pth,0.797318099,0.053604192,0.804684647,0.067104805,0.908536585,0.041340384,0.739081013,0.005435259,0.93689023,0.02795518
141,mmc7_PCA_LSTM_padded_None.pth,0.779130004,0.097925537,0.738490863,0.118454173,0.952987805,0.017266867,0.670718694,0.002048637,0.947975666,0.049418448
142,mmc7_PCA_CNNLSTM__GAIN.pth,0.806857944,0.066996011,0.800895028,0.075643483,0.938170732,0.037286174,0.739154601,0.005434296,0.948261266,0.035409002
143,mmc7_PCA_CNNLSTM_padded_GAIN.pth,0.806857944,0.066996011,0.800895028,0.075643483,0.938170732,0.037286174,0.739154601,0.005434296,0.948261266,0.035409002
144,mmc7__CNNLSTM__None.pth,0.811818849,0.071860003,0.839558045,0.103651879,0.970365854,0.014514757,0.681573004,0.001468298,0.962522689,0.036718155
145,mmc7__CNNLSTM_padded_None.pth,0.811818849,0.071860003,0.839558045,0.103651879,0.970365854,0.014514757,0.681573004,0.001468298,0.962522689,0.036718155
146,mmc7__LSTM_padded_None.pth,0.815239348,0.060249319,0.806777613,0.077765631,0.967804878,0.011397058,0.711486071,0.001905177,0.965781501,0.020613948
147,mmc7_PCA_CNNLSTM__None.pth,0.837104388,0.03360058,0.827940901,0.072214015,0.94804878,0.023459053,0.739005905,0.005395844,0.971555445,0.01308375
148,mmc7_PCA_CNNLSTM_padded_None.pth,0.837104388,0.03360058,0.827940901,0.072214015,0.94804878,0.023459053,0.739005905,0.005395844,0.971555445,0.01308375
